Sampling method,Latitude,Longitude,PID,Depth (m),Sampling date (YYYY-MM),Sample size,Sample Unit ,User name
Smith McIntyre grab,48.7083,-3.8662,5370,18,2010-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2010-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2011-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2011-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2012-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2012-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2013-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2013-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2014-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2014-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2015-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2015-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2016-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2016-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2017-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2017-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2018-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2018-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2019-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2019-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2020-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2020-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2021-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2021-10,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2022-03,0.1,m2,
Smith McIntyre grab,48.7083,-3.8662,5370,18,2022-10,0.1,m2,