scientificName_initial,scientificName_accepted,AphiaID,kingdom,phylum,class,order,family,genus
Abra alba,Abra alba,141433,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra
Abra prismatica,Abra prismatica,141436,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra
Acanthocardia echinata,Acanthocardia echinata,138992,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia
Achaeus cranchii,Achaeus cranchii,107313,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Achaeus
Acidostoma obesum,Acidostoma obesum,102497,Animalia,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma
Acrocnida brachiata,Acrocnida brachiata,236130,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida
Acteon tornatilis,Acteon tornatilis,138691,Animalia,Mollusca,Gastropoda,,Acteonidae,Acteon
Aequipecten opercularis,Aequipecten opercularis,140687,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten
Ampelisca armoricana,Ampelisca armoricana,101888,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca brevicornis,Ampelisca brevicornis,101891,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca diadema,Ampelisca diadema,101896,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca sarsi,Ampelisca sarsi,101923,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca spinimana,Ampelisca spinimana,101927,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca spinipes,Ampelisca spinipes,101928,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca tenuicornis,Ampelisca tenuicornis,101930,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampelisca typica,Ampelisca typica,101933,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
Ampharete lindstroemi,Ampharete lindstroemi,129781,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete
Amphipholis squamata,Amphipholis squamata,125064,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis
Amphiura filiformis,Amphiura filiformis,125080,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura
Anapagurus hyndmanni,Anapagurus hyndmanni,107217,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Anapagurus
Antalis vulgaris,Antalis vulgaris,196380,Animalia,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis
Aonides oxycephala,Aonides oxycephala,131106,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aonides
Aora gracilis,Aora gracilis,102012,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aora
Aphelochaeta spp.,,,,,,,,
Apherusa bispinosa,Apherusa bispinosa,102160,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Apherusa
Aphrodita aculeata,Aphrodita aculeata,129840,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita
Apolochus neapolitanus,Apolochus neapolitanus,236495,Animalia,Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Apolochus
Aponuphis bilineata,Aponuphis bilineata,130452,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Aponuphis
Aporrhais pespelecani,Aporrhais pespelecani,138760,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais
Apseudes sp.,,,,,,,,
Argissa hamatipes,Argissa hamatipes,102064,Animalia,Arthropoda,Malacostraca,Amphipoda,Argissidae,Argissa
Armandia polyophthalma,Armandia polyophthalma,130486,Animalia,Annelida,Polychaeta,,Opheliidae,Armandia
Asbjornsenia pygmaea,Asbjornsenia pygmaea,879714,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Asbjornsenia
Atelecyclus rotundatus,Atelecyclus rotundatus,107273,Animalia,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,Atelecyclus
Bathyporeia spp.,,,,,,,,
Bela nebula,Bela nebula,139217,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Bela
Bodotria sp.,,,,,,,,
Callista chione,Callista chione,141906,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Callista
Calyptraea chinensis,Calyptraea chinensis,138961,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Calyptraea
Caprellidae,Caprellidae,101361,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,
Caulleriella spp.,,,,,,,,
Centraloecetes kroyeranus,Centraloecetes kroyeranus,1059646,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Centraloecetes
Chaetozone spp.,,,,,,,,
Chamelea striatula,Chamelea striatula,141908,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chamelea
Cheirocratus intermedius,Cheirocratus intermedius,102795,Animalia,Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,Cheirocratus
Cheirocratus sundevallii,Cheirocratus sundevallii,102798,Animalia,Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,Cheirocratus
Cirriformia tentaculata,Cirriformia tentaculata,129964,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirriformia
Claparedepelogenia inclusa,Claparedepelogenia inclusa,131063,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Claparedepelogenia
Clausinella fasciata,Clausinella fasciata,141909,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Clausinella
Corystes cassivelaunus,Corystes cassivelaunus,107277,Animalia,Arthropoda,Malacostraca,Decapoda,Corystidae,Corystes
Crangon crangon,Crangon crangon,107552,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon
Crepidula fornicata,Crepidula fornicata,138963,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula
Cylichna cylindracea,Cylichna cylindracea,139476,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna
Diastylis sp.,,,,,,,,
Diplocirrus glaucus,Diplocirrus glaucus,130100,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Diplocirrus
Dipolydora flava,Dipolydora flava,131118,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Dipolydora
Dosinia sp.,,,,,,,,
Ebalia spp.,,,,,,,,
Echinocyamus pusillus,Echinocyamus pusillus,124273,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Fibulariidae,Echinocyamus
Edwardsia claparedii,Edwardsia claparedii,100880,Animalia,Cnidaria,Hexacorallia,Actiniaria,Edwardsiidae,Edwardsia
Ensis ensis,Ensis ensis,140733,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis
Ensis magnus,Ensis magnus,160539,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis
Ensis siliqua,Ensis siliqua,140735,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis
Eteone spp.,,,,,,,,
Euchone rosea,Euchone rosea,130907,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone
Eumida spp.,,,,,,,,
Eurydice pulchra,Eurydice pulchra,118852,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice
Euspira catena,Euspira catena,140528,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira
Euspira nitida,Euspira nitida,151894,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira
Fabulina fabula,Fabulina fabula,146907,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Fabulina
Galathea spp.,,,,,,,,
Galathowenia oculata,Galathowenia oculata,146950,Animalia,Annelida,Polychaeta,,Oweniidae,Galathowenia
Gari costulata,Gari costulata,140868,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari
Gari fervensis,Gari fervensis,140870,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari
Gari tellinella,Gari tellinella,140873,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari
Glycera spp.,,,,,,,,
Glycinde nordmanni,Glycinde nordmanni,130136,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde
Gnathiidae,Gnathiidae,118278,Animalia,Arthropoda,Malacostraca,Isopoda,Gnathiidae,
Goniada maculata,Goniada maculata,130140,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada
Harmothoe spp.,,,,,,,,
Hippolyte varians,Hippolyte varians,107518,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Hippolyte
Hippomedon denticulatus,Hippomedon denticulatus,102570,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Hippomedon
Idunella picta,Idunella picta,179650,Animalia,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae,Idunella
Iphinoe trispinosa,Iphinoe trispinosa,110462,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Iphinoe
Janira maculosa,Janira maculosa,118732,Animalia,Arthropoda,Malacostraca,Isopoda,Janiridae,Janira
Jassa marmorata,Jassa marmorata,102433,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa
Kroyera carinata,Kroyera carinata,547074,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Kroyera
Kurtiella bidentata,Kurtiella bidentata,345281,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella
Laetmonice hystrix,Laetmonice hystrix,129845,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Laetmonice
Lagis koreni,Lagis koreni,152367,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,Lagis
Lanice conchilega,Lanice conchilega,131495,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice
Laonice cirrata,Laonice cirrata,131128,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice
Leptocheirus pectinatus,Leptocheirus pectinatus,102039,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Leptocheirus
Leucothoe incisa,Leucothoe incisa,102460,Animalia,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe
Liocarcinus spp.,,,,,,,,
Loripes orbiculatus,Loripes orbiculatus,875379,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Loripes
Lucinella divaricata,Lucinella divaricata,140282,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinella
Lucinoma borealis,Lucinoma borealis,140283,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinoma
Lumbrineridae,Lumbrineridae,967,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,
Lutraria lutraria,Lutraria lutraria,140295,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Lutraria
Lysidice unicornis,Lysidice unicornis,742232,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice
Macomangulus tenuis,Macomangulus tenuis,878470,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macomangulus
Macropodia spp.,,,,,,,,
Mactra stultorum,Mactra stultorum,140299,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactra
Magelona spp.,,,,,,,,
Malacoceros spp.,,,,,,,,
Maldanidae,Maldanidae,923,Animalia,Annelida,Polychaeta,,Maldanidae,
Marphysa sanguinea,Marphysa sanguinea,130075,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa
Mediomastus fragilis,Mediomastus fragilis,129892,Animalia,Annelida,Polychaeta,,Capitellidae,Mediomastus
Megaluropus agilis,Megaluropus agilis,102783,Animalia,Arthropoda,Malacostraca,Amphipoda,Megaluropidae,Megaluropus
Melinna palmata,Melinna palmata,129808,Animalia,Annelida,Polychaeta,Terebellida,Melinnidae,Melinna
Microspio mecznikowiana,Microspio mecznikowiana,131138,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Microspio
Mimachlamys varia,Mimachlamys varia,236719,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Mimachlamys
Mioerycina coarctata,Mioerycina coarctata,1723720,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Mioerycina
Moerella donacina,Moerella donacina,147021,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Moerella
Myrtea spinifera,Myrtea spinifera,140287,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Myrtea
Mysia undata,Mysia undata,140728,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mysia
Mysidae,Mysidae,119822,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,
Mysta picta,Mysta picta,147026,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Mysta
Nebalia spp.,,,,,,,,
Nemertea,Nemertea,152391,Animalia,Nemertea,,,,
Nephtys spp.,,,,,,,,
Nepinnotheres pinnotheres,Nepinnotheres pinnotheres,107469,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Nepinnotheres
Normanion chevreuxi,Normanion chevreuxi,102629,Animalia,Arthropoda,Malacostraca,Amphipoda,Opisidae,Normanion
Notomastus latericeus,Notomastus latericeus,129898,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus
Nototropis falcatus,Nototropis falcatus,102139,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis
Nototropis guttatus,Nototropis guttatus,148587,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis
Nototropis swammerdamei,Nototropis swammerdamei,488966,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis
Nototropis vedlomensis,Nototropis vedlomensis,179538,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis
Nucula hanleyi,Nucula hanleyi,140588,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula
Nucula nitidosa,Nucula nitidosa,140589,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula
Odontosyllis gibba,Odontosyllis gibba,131328,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Odontosyllis
Ondina diaphana,Ondina diaphana,141031,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Ondina
Ondina divisa,Ondina divisa,141033,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Ondina
Ondina perezi,Ondina perezi,156275,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Ondina
Opheliidae,Opheliidae,924,Animalia,Annelida,Polychaeta,,Opheliidae,
Ophiothrix fragilis,Ophiothrix fragilis,125131,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix
Ophiura albida,Ophiura albida,124913,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura
Ophiura ophiura,Ophiura ophiura,124929,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura
Orbinia spp.,,,,,,,,
Othomaera othonis,Othomaera othonis,534781,Animalia,Arthropoda,Malacostraca,Amphipoda,Maeridae,Othomaera
Owenia fusiformis,Owenia fusiformis,130544,Animalia,Annelida,Polychaeta,,Oweniidae,Owenia
Pagurus bernhardus,Pagurus bernhardus,107232,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus
Pagurus cuanensis,Pagurus cuanensis,107235,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus
Pandora albida,Pandora albida,152817,Animalia,Mollusca,Bivalvia,,Pandoridae,Pandora
Paraonidae,Paraonidae,903,Animalia,Annelida,Polychaeta,,Paraonidae,
Parexogone hebes,Parexogone hebes,757970,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Parexogone
Parvicardium scabrum,Parvicardium scabrum,139012,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium
Paucibranchia bellii,Paucibranchia bellii,1297885,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Paucibranchia
Pelogenia arenosa,Pelogenia arenosa,131071,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pelogenia
Perioculodes longimanus,Perioculodes longimanus,102915,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Perioculodes
Perrierella audouiniana,Perrierella audouiniana,102710,Animalia,Arthropoda,Malacostraca,Amphipoda,Aristiidae,Perrierella
Phascolion (Phascolion) strombus strombus,Phascolion (Phascolion) strombus strombus,416714,Animalia,Annelida,,Sipuncula,Golfingiidae,Phascolion
Phaxas pellucidus,Phaxas pellucidus,140737,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Phaxas
Pherusa plumosa,Pherusa plumosa,130113,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Pherusa
Philocheras bispinosus,Philocheras bispinosus,107557,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Philocheras
Philocheras trispinosus,Philocheras trispinosus,107562,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Philocheras
Pholoe baltica,Pholoe baltica,130599,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe
Phoronis sp.,,,,,,,,
Photis longicaudata,Photis longicaudata,102383,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Photis
Phyllodoce spp.,,,,,,,,
Pilumnus hirtellus,Pilumnus hirtellus,107418,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,Pilumnus
Poecilochaetus serpens,Poecilochaetus serpens,130711,Animalia,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus
Polititapes rhomboides,Polititapes rhomboides,745846,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Polititapes
Prionospio cirrifera,Prionospio cirrifera,131153,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Prionospio malmgreni,Prionospio malmgreni,131159,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Prionospio multibranchiata,Prionospio multibranchiata,131160,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Processa spp.,,,,,,,,
Protodorvillea kefersteini,Protodorvillea kefersteini,130041,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea
Psamathe fusca,Psamathe fusca,152249,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Psamathe
Pseudopolydora pulchra,Pseudopolydora pulchra,131169,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora
Pseudopotamilla reniformis,Pseudopotamilla reniformis,130963,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Pseudopotamilla
Ptychodera sp.,,,,,,,,
Pyrgiscus crenatus,Pyrgiscus crenatus,836211,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Pyrgiscus
Sabella pavonina,Sabella pavonina,130967,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella
Scalibregma celticum,Scalibregma celticum,130979,Animalia,Annelida,Polychaeta,,Scalibregmatidae,Scalibregma
Scolelepis (Scolelepis) foliosa,Scolelepis (Scolelepis) foliosa,131173,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis
Scolelepis bonnieri,Scolelepis bonnieri,131171,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis
Scolelepis tridentata,Scolelepis tridentata,131178,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis
Scoloplos armiger,Scoloplos armiger,130537,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos
Sigalion mathildae,Sigalion mathildae,131072,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalion
Socarnes filicornis,Socarnes filicornis,102725,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Socarnes
Spio decorata,Spio decorata,152314,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio
Spiophanes bombyx,Spiophanes bombyx,131187,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes
Spisula elliptica,Spisula elliptica,140300,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Spisula subtruncata,Spisula subtruncata,140302,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Sthenelais boa,Sthenelais boa,131074,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais
Sthenelais limicola,Sthenelais limicola,131077,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais
Streblosoma cabiochi,Streblosoma cabiochi,1447083,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Streblosoma
Syllidae,Syllidae,948,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,
Syllis parapari,Syllis parapari,196002,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis
Synarachnactis lloydii,Synarachnactis lloydii,1674631,Animalia,Cnidaria,Hexacorallia,Ceriantharia,Synarachnactidae,Synarachnactis
Synchelidium haplocheles,Synchelidium haplocheles,102924,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium
Synchelidium maculatum,Synchelidium maculatum,102928,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium
Tanaidacea,Tanaidacea,1133,Animalia,Arthropoda,Malacostraca,Tanaidacea,,
Terebellidae,Terebellidae,982,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,
Terebellides gentili,Terebellides gentili,1374754,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides
Thelepus spp.,,,,,,,,
Thracia phaseolina,Thracia phaseolina,152378,Animalia,Mollusca,Bivalvia,,Thraciidae,Thracia
Thyasira flexuosa,Thyasira flexuosa,141662,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Thyasira
Timoclea ovata,Timoclea ovata,141929,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Timoclea
Tritia reticulata,Tritia reticulata,876821,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia
Tritia varicosa,Tritia varicosa,1391526,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia
Tryphosa nana,Tryphosa nana,102748,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosa
Tryphosella sarsi,Tryphosella sarsi,102771,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosella
Tryphosites longipes,Tryphosites longipes,102779,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosites
Turritellinella tricarinata,Turritellinella tricarinata,1381415,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Turritellidae,Turritellinella
Upogebia deltaura,Upogebia deltaura,107739,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia
Urothoe spp.,,,,,,,,
Varicorbula gibba,Varicorbula gibba,378492,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Varicorbula
Venus casina,Venus casina,141934,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Venus
Websterinereis glauca,Websterinereis glauca,130426,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Websterinereis