ScientificName_Initial;AphiaID;ScientificName_Accepted_2December2025
Abra alba;141433;Abra alba
Abra prismatica;141436;Abra prismatica
Acanthocardia echinata;138992;Acanthocardia echinata
Achaeus cranchii;107313;Achaeus cranchii
Acidostoma obesum;102497;Acidostoma obesum
Acrocnida brachiata;236130;Acrocnida brachiata
Acteon tornatilis;138691;Acteon tornatilis
Aequipecten opercularis;140687;Aequipecten opercularis
Ampelisca armoricana;101888;Ampelisca armoricana
Ampelisca brevicornis;101891;Ampelisca brevicornis
Ampelisca diadema;101896;Ampelisca diadema
Ampelisca sarsi;101923;Ampelisca sarsi
Ampelisca spinimana;101927;Ampelisca spinimana
Ampelisca spinipes;101928;Ampelisca spinipes
Ampelisca tenuicornis;101930;Ampelisca tenuicornis
Ampelisca typica;101933;Ampelisca typica
Ampharete lindstroemi;129781;Ampharete lindstroemi
Amphipholis squamata;125064;Amphipholis squamata
Amphiura filiformis;125080;Amphiura filiformis
Anapagurus hyndmanni;107217;Anapagurus hyndmanni
Antalis vulgaris;196380;Antalis vulgaris
Aonides oxycephala;131106;Aonides oxycephala
Aora gracilis;102012;Aora gracilis
Aphelochaeta spp.;;
Apherusa bispinosa;102160;Apherusa bispinosa
Aphrodita aculeata;129840;Aphrodita aculeata
Apolochus neapolitanus;236495;Apolochus neapolitanus
Aponuphis bilineata;130452;Aponuphis bilineata
Aporrhais pespelecani;138760;Aporrhais pespelecani
Apseudes sp.;;
Argissa hamatipes;102064;Argissa hamatipes
Armandia polyophthalma;130486;Armandia polyophthalma
Asbjornsenia pygmaea;879714;Asbjornsenia pygmaea
Atelecyclus rotundatus;107273;Atelecyclus rotundatus
Bathyporeia spp.;;
Bela nebula;139217;Bela nebula
Bodotria sp.;;
Callista chione;141906;Callista chione
Calyptraea chinensis;138961;Calyptraea chinensis
Caprellidae;101361;Caprellidae
Caulleriella spp.;;
Centraloecetes kroyeranus;1059646;Centraloecetes kroyeranus
Chaetozone spp.;;
Chamelea striatula;141908;Chamelea striatula
Cheirocratus intermedius;102795;Cheirocratus intermedius
Cheirocratus sundevallii;102798;Cheirocratus sundevallii
Cirriformia tentaculata;129964;Cirriformia tentaculata
Claparedepelogenia inclusa;131063;Claparedepelogenia inclusa
Clausinella fasciata;141909;Clausinella fasciata
Corystes cassivelaunus;107277;Corystes cassivelaunus
Crangon crangon;107552;Crangon crangon
Crepidula fornicata;138963;Crepidula fornicata
Cylichna cylindracea;139476;Cylichna cylindracea
Diastylis sp.;;
Diplocirrus glaucus;130100;Diplocirrus glaucus
Dipolydora flava;131118;Dipolydora flava
Dosinia sp.;;
Ebalia spp.;;
Echinocyamus pusillus;124273;Echinocyamus pusillus
Edwardsia claparedii;100880;Edwardsia claparedii
Ensis ensis;140733;Ensis ensis
Ensis magnus;160539;Ensis magnus
Ensis siliqua;140735;Ensis siliqua
Eteone spp.;;
Euchone rosea;130907;Euchone rosea
Eumida spp.;;
Eurydice pulchra;118852;Eurydice pulchra
Euspira catena;140528;Euspira catena
Euspira nitida;151894;Euspira nitida
Fabulina fabula;146907;Fabulina fabula
Galathea spp.;;
Galathowenia oculata;146950;Galathowenia oculata
Gari costulata;140868;Gari costulata
Gari fervensis;140870;Gari fervensis
Gari tellinella;140873;Gari tellinella
Glycera spp.;;
Glycinde nordmanni;130136;Glycinde nordmanni
Gnathiidae;118278;Gnathiidae
Goniada maculata;130140;Goniada maculata
Harmothoe spp.;;
Hippolyte varians;107518;Hippolyte varians
Hippomedon denticulatus;102570;Hippomedon denticulatus
Idunella picta;179650;Idunella picta
Iphinoe trispinosa;110462;Iphinoe trispinosa
Janira maculosa;118732;Janira maculosa
Jassa marmorata;102433;Jassa marmorata
Kroyera carinata;547074;Kroyera carinata
Kurtiella bidentata;345281;Kurtiella bidentata
Laetmonice hystrix;129845;Laetmonice hystrix
Lagis koreni;152367;Lagis koreni
Lanice conchilega;131495;Lanice conchilega
Laonice cirrata;131128;Laonice cirrata
Leptocheirus pectinatus;102039;Leptocheirus pectinatus
Leucothoe incisa;102460;Leucothoe incisa
Liocarcinus spp.;;
Loripes orbiculatus;875379;Loripes orbiculatus
Lucinella divaricata;140282;Lucinella divaricata
Lucinoma borealis;140283;Lucinoma borealis
Lumbrineridae;967;Lumbrineridae
Lutraria lutraria;140295;Lutraria lutraria
Lysidice unicornis;742232;Lysidice unicornis
Macomangulus tenuis;878470;Macomangulus tenuis
Macropodia spp.;;
Mactra stultorum;140299;Mactra stultorum
Magelona spp.;;
Malacoceros spp.;;
Maldanidae;923;Maldanidae
Marphysa sanguinea;130075;Marphysa sanguinea
Mediomastus fragilis;129892;Mediomastus fragilis
Megaluropus agilis;102783;Megaluropus agilis
Melinna palmata;129808;Melinna palmata
Microspio mecznikowiana;131138;Microspio mecznikowiana
Mimachlamys varia;236719;Mimachlamys varia
Mioerycina coarctata;1723720;Mioerycina coarctata
Moerella donacina;147021;Moerella donacina
Myrtea spinifera;140287;Myrtea spinifera
Mysia undata;140728;Mysia undata
Mysidae;119822;Mysidae
Mysta picta;147026;Mysta picta
Nebalia spp.;;
Nemertea;152391;Nemertea
Nephtys spp.;;
Nepinnotheres pinnotheres;107469;Nepinnotheres pinnotheres
Normanion chevreuxi;102629;Normanion chevreuxi
Notomastus latericeus;129898;Notomastus latericeus
Nototropis falcatus;102139;Nototropis falcatus
Nototropis guttatus;148587;Nototropis guttatus
Nototropis swammerdamei;488966;Nototropis swammerdamei
Nototropis vedlomensis;179538;Nototropis vedlomensis
Nucula hanleyi;140588;Nucula hanleyi
Nucula nitidosa;140589;Nucula nitidosa
Odontosyllis gibba;131328;Odontosyllis gibba
Ondina diaphana;141031;Ondina diaphana
Ondina divisa;141033;Ondina divisa
Ondina perezi;156275;Ondina perezi
Opheliidae;924;Opheliidae
Ophiothrix fragilis;125131;Ophiothrix fragilis
Ophiura albida;124913;Ophiura albida
Ophiura ophiura;124929;Ophiura ophiura
Orbinia spp.;;
Othomaera othonis;534781;Othomaera othonis
Owenia fusiformis;130544;Owenia fusiformis
Pagurus bernhardus;107232;Pagurus bernhardus
Pagurus cuanensis;107235;Pagurus cuanensis
Pandora albida;152817;Pandora albida
Paraonidae;903;Paraonidae
Parexogone hebes;757970;Parexogone hebes
Parvicardium scabrum;139012;Parvicardium scabrum
Paucibranchia bellii;1297885;Paucibranchia bellii
Pelogenia arenosa;131071;Pelogenia arenosa
Perioculodes longimanus;102915;Perioculodes longimanus
Perrierella audouiniana;102710;Perrierella audouiniana
Phascolion (Phascolion) strombus strombus;410749;Phascolion (Phascolion) strombus strombus
Phaxas pellucidus;140737;Phaxas pellucidus
Pherusa plumosa;130113;Pherusa plumosa
Philocheras bispinosus;107557;Philocheras bispinosus
Philocheras trispinosus;107562;Philocheras trispinosus
Pholoe baltica;130599;Pholoe baltica
Phoronis sp.;;
Photis longicaudata;102383;Photis longicaudata
Phyllodoce spp.;;
Pilumnus hirtellus;107418;Pilumnus hirtellus
Poecilochaetus serpens;130711;Poecilochaetus serpens
Polititapes rhomboides;745846;Polititapes rhomboides
Prionospio cirrifera;131153;Prionospio cirrifera
Prionospio malmgreni;131159;Prionospio malmgreni
Prionospio multibranchiata;131160;Prionospio multibranchiata
Processa spp.;;
Protodorvillea kefersteini;130041;Protodorvillea kefersteini
Psamathe fusca;152249;Psamathe fusca
Pseudopolydora pulchra;131169;Pseudopolydora pulchra
Pseudopotamilla reniformis;130963;Pseudopotamilla reniformis
Ptychodera sp.;;
Pyrgiscus crenatus;836211;Pyrgiscus crenatus
Sabella pavonina;130967;Sabella pavonina
Scalibregma celticum;130979;Scalibregma celticum
Scolelepis (Scolelepis) foliosa;334741;Scolelepis (Scolelepis) foliosa
Scolelepis bonnieri;131171;Scolelepis bonnieri
Scolelepis tridentata;131178;Scolelepis tridentata
Scoloplos armiger;130537;Scoloplos armiger
Sigalion mathildae;131072;Sigalion mathildae
Socarnes filicornis;102725;Socarnes filicornis
Spio decorata;152314;Spio decorata
Spiophanes bombyx;131187;Spiophanes bombyx
Spisula elliptica;140300;Spisula elliptica
Spisula subtruncata;140302;Spisula subtruncata
Sthenelais boa;131074;Sthenelais boa
Sthenelais limicola;131077;Sthenelais limicola
Streblosoma cabiochi;1447083;Streblosoma cabiochi
Syllidae;948;Syllidae
Syllis parapari;196002;Syllis parapari
Synarachnactis lloydii;1674631;Synarachnactis lloydii
Synchelidium haplocheles;102924;Synchelidium haplocheles
Synchelidium maculatum;102928;Synchelidium maculatum
Tanaidacea;1133;Tanaidacea
Terebellidae;982;Terebellidae
Terebellides gentili;1374754;Terebellides gentili
Thelepus spp.;;
Thracia phaseolina;152378;Thracia phaseolina
Thyasira flexuosa;141662;Thyasira flexuosa
Timoclea ovata;141929;Timoclea ovata
Tritia reticulata;876821;Tritia reticulata
Tritia varicosa;1391526;Tritia varicosa
Tryphosa nana;102748;Tryphosa nana
Tryphosella sarsi;102771;Tryphosella sarsi
Tryphosites longipes;102779;Tryphosites longipes
Turritellinella tricarinata;1381415;Turritellinella tricarinata
Upogebia deltaura;107739;Upogebia deltaura
Urothoe spp.;;
Varicorbula gibba;378492;Varicorbula gibba
Venus casina;141934;Venus casina
Websterinereis glauca;130426;Websterinereis glauca
